name,ip
epson_slip_it,192.168.0.188
epson_L1110_it,192.168.1.182
hp_M72630_ac,192.168.0.221
hp_M72630_hr,192.168.0.222
hp_M426fdw_mc,192.168.1.28
hp_M72630_gr,192.168.0.223
hp_M72630_backoffice,192.168.0.224
fuji_xerox_marketing,192.168.0.52
epson_L1800_marketing,192.168.0.11
hp_M72630_homemart,192.168.0.225
Fuji_xerox3065_ws,192.168.1.20
TOSHIBA_e-STUDIO4508A_cashierS01,192.168.0.114
HP_LaserJet_แคชเชียร์กลาง-สำรอง,192.168.0.163
epson_LQ630_เงินเชื่อ,192.168.1.240
cannon_cashierstock9,192.168.0.241
epson_L1300_HR,192.168.1.252
epson_L3210_GR,10.0.3.97
epson_L3250_Stock9,10.0.3.5


